[2025-05-03 14:36:09] [32m[I]     9383 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9368 ms	Done time: 9380 ms	Delta Time: 4495 ms	Sync AVG: 9543.97 ms	Done AVG: 9555.97 ms	Sync count: 78	Boot count: 78[0m
[2025-05-03 14:36:39] [32m[I]     9628 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9612 ms	Done time: 9624 ms	Delta Time: 4495 ms	Sync AVG: 9544.83 ms	Done AVG: 9556.83 ms	Sync count: 79	Boot count: 79[0m
[2025-05-03 14:37:08] [32m[I]     9620 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9605 ms	Done time: 9617 ms	Delta Time: 4495 ms	Sync AVG: 9545.59 ms	Done AVG: 9557.59 ms	Sync count: 80	Boot count: 80[0m
[2025-05-03 14:37:39] [32m[I]    10007 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9991 ms	Done time: 10003 ms	Delta Time: 4495 ms	Sync AVG: 9551.09 ms	Done AVG: 9563.09 ms	Sync count: 81	Boot count: 81[0m
[2025-05-03 14:38:08] [32m[I]     9196 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9180 ms	Done time: 9192 ms	Delta Time: 4495 ms	Sync AVG: 9546.56 ms	Done AVG: 9558.56 ms	Sync count: 82	Boot count: 82[0m
[2025-05-03 14:38:38] [32m[I]     9620 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9604 ms	Done time: 9616 ms	Delta Time: 4495 ms	Sync AVG: 9547.25 ms	Done AVG: 9559.25 ms	Sync count: 83	Boot count: 83[0m
[2025-05-03 14:39:08] [32m[I]     9828 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9812 ms	Done time: 9824 ms	Delta Time: 4495 ms	Sync AVG: 9550.40 ms	Done AVG: 9562.40 ms	Sync count: 84	Boot count: 84[0m
[2025-05-03 14:39:38] [32m[I]     9397 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9381 ms	Done time: 9393 ms	Delta Time: 4495 ms	Sync AVG: 9548.41 ms	Done AVG: 9560.41 ms	Sync count: 85	Boot count: 85[0m
[2025-05-03 14:40:08] [32m[I]     9794 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9778 ms	Done time: 9790 ms	Delta Time: 4495 ms	Sync AVG: 9551.08 ms	Done AVG: 9563.08 ms	Sync count: 86	Boot count: 86[0m
[2025-05-03 14:40:37] [32m[I]     9414 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9398 ms	Done time: 9410 ms	Delta Time: 4495 ms	Sync AVG: 9549.32 ms	Done AVG: 9561.32 ms	Sync count: 87	Boot count: 87[0m
[2025-05-03 14:41:07] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 9550.07 ms	Done AVG: 9562.07 ms	Sync count: 88	Boot count: 88[0m
[2025-05-03 14:41:37] [32m[I]     9621 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9606 ms	Done time: 9618 ms	Delta Time: 4495 ms	Sync AVG: 9550.70 ms	Done AVG: 9562.70 ms	Sync count: 89	Boot count: 89[0m
