[2025-05-02 21:26:29] [32m[I]     9614 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9598 ms	Done time: 9610 ms	Delta Time: 4495 ms	Sync AVG: 9543.88 ms	Done AVG: 9556.07 ms	Sync count: 67	Boot count: 67[0m
[2025-05-02 21:26:59] [32m[I]     9637 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9621 ms	Done time: 9633 ms	Delta Time: 4495 ms	Sync AVG: 9545.01 ms	Done AVG: 9557.21 ms	Sync count: 68	Boot count: 68[0m
[2025-05-02 21:27:28] [32m[I]     9646 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20440 ms	Sync time: 9628 ms	Done time: 9641 ms	Delta Time: 4495 ms	Sync AVG: 9546.22 ms	Done AVG: 9558.42 ms	Sync count: 69	Boot count: 69[0m
[2025-05-02 21:27:58] [32m[I]     9632 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9615 ms	Done time: 9627 ms	Delta Time: 4495 ms	Sync AVG: 9547.20 ms	Done AVG: 9559.40 ms	Sync count: 70	Boot count: 70[0m
[2025-05-02 21:28:28] [32m[I]     9654 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9638 ms	Done time: 9650 ms	Delta Time: 4495 ms	Sync AVG: 9548.48 ms	Done AVG: 9560.68 ms	Sync count: 71	Boot count: 71[0m
[2025-05-02 21:28:58] [32m[I]     9642 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9626 ms	Done time: 9638 ms	Delta Time: 4495 ms	Sync AVG: 9549.56 ms	Done AVG: 9561.75 ms	Sync count: 72	Boot count: 72[0m
[2025-05-02 21:29:28] [32m[I]     9652 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9636 ms	Done time: 9648 ms	Delta Time: 4495 ms	Sync AVG: 9550.74 ms	Done AVG: 9562.93 ms	Sync count: 73	Boot count: 73[0m
[2025-05-02 21:29:58] [32m[I]     9652 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9635 ms	Done time: 9647 ms	Delta Time: 4495 ms	Sync AVG: 9551.88 ms	Done AVG: 9564.07 ms	Sync count: 74	Boot count: 74[0m
[2025-05-02 21:30:27] [32m[I]     9623 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9607 ms	Done time: 9619 ms	Delta Time: 4495 ms	Sync AVG: 9552.61 ms	Done AVG: 9564.80 ms	Sync count: 75	Boot count: 75[0m
[2025-05-02 21:30:57] [32m[I]     9608 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9592 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 9553.13 ms	Done AVG: 9565.32 ms	Sync count: 76	Boot count: 76[0m
[2025-05-02 21:31:27] [32m[I]     9638 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9622 ms	Done time: 9634 ms	Delta Time: 4495 ms	Sync AVG: 9554.03 ms	Done AVG: 9566.21 ms	Sync count: 77	Boot count: 77[0m
[2025-05-02 21:31:57] [32m[I]     9645 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9628 ms	Done time: 9640 ms	Delta Time: 4495 ms	Sync AVG: 9554.97 ms	Done AVG: 9567.15 ms	Sync count: 78	Boot count: 78[0m
[2025-05-02 21:32:27] [32m[I]     9622 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9606 ms	Done time: 9618 ms	Delta Time: 4495 ms	Sync AVG: 9555.62 ms	Done AVG: 9567.80 ms	Sync count: 79	Boot count: 79[0m
[2025-05-02 21:32:57] [32m[I]     9641 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9625 ms	Done time: 9637 ms	Delta Time: 4495 ms	Sync AVG: 9556.49 ms	Done AVG: 9568.66 ms	Sync count: 80	Boot count: 80[0m
[2025-05-02 21:33:26] [32m[I]     9613 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9597 ms	Done time: 9609 ms	Delta Time: 4495 ms	Sync AVG: 9556.99 ms	Done AVG: 9569.16 ms	Sync count: 81	Boot count: 81[0m
[2025-05-02 21:33:56] [32m[I]     9626 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9610 ms	Done time: 9622 ms	Delta Time: 4495 ms	Sync AVG: 9557.63 ms	Done AVG: 9569.80 ms	Sync count: 82	Boot count: 82[0m
[2025-05-02 21:34:26] [32m[I]     9630 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9613 ms	Done time: 9625 ms	Delta Time: 4495 ms	Sync AVG: 9558.30 ms	Done AVG: 9570.47 ms	Sync count: 83	Boot count: 83[0m
[2025-05-02 21:34:56] [32m[I]     9615 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9598 ms	Done time: 9610 ms	Delta Time: 4495 ms	Sync AVG: 9558.77 ms	Done AVG: 9570.94 ms	Sync count: 84	Boot count: 84[0m
[2025-05-02 21:35:26] [32m[I]     9649 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9632 ms	Done time: 9644 ms	Delta Time: 4495 ms	Sync AVG: 9559.64 ms	Done AVG: 9571.80 ms	Sync count: 85	Boot count: 85[0m
[2025-05-02 21:35:56] [32m[I]     9593 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9577 ms	Done time: 9589 ms	Delta Time: 4495 ms	Sync AVG: 9559.84 ms	Done AVG: 9572.00 ms	Sync count: 86	Boot count: 86[0m
