[2025-05-21 11:10:30.596377] ets Jul 29 2019 12:21:46
[2025-05-21 11:10:30.596515] 
[2025-05-21 11:14:13.801000] [I]      131 routing.cpp         :  64 | [ROUTING] Initialized
[2025-05-21 11:14:13.807040] [I]      131 transport.cpp       :  74 | [TRANSPORT] Initialized
[2025-05-21 11:14:13.815046] [W]      142 routing_table.cpp   :  84 | [RTABLE] Route for 0x09 already exists
[2025-05-21 11:14:13.823010] [I]      152 transport.cpp       : 168 | [TRANSPORT] Registered event(s) for port 1
[2025-05-21 11:14:13.830185] [I]      163 transport.cpp       :  93 | [TRANSPORT] Preparing to send
[2025-05-21 11:14:13.840077] [I]      163 transport.cpp       : 368 | [TRANSPORT] SEGMENT: ID=14970 PORT=1 ACKreq=0 ACKResp=0 D-LEN=0 DATA=
[2025-05-21 11:14:13.846985] [I]      173 routing.cpp         :  90 | [ROUTING] Sending packet:
[2025-05-21 11:14:13.855990] [I]      183 routing.cpp         : 299 | [ROUTING] PACKET: SRC=05 DST=09 TTL=5 D-LEN=4 DATA=z:
[2025-05-21 11:14:13.864036] [I]      194 routing_table.cpp   :  74 | [RTABLE] Queried route for 0x09, through 0x09
[2025-05-21 11:14:13.871089] [I]      204 mac.cpp             : 115 | [MAC] Preparing to send
[2025-05-21 11:14:13.875962] [I]      204 mac.cpp             : 128 | [MAC] PDU ready
[2025-05-21 11:14:13.887031] [I]      215 mac.cpp             : 565 | [MAC] FRAME: TX=05 RX=09 ID=62875 D-LEN=8 DATA=	z: CRC=210 ACK=0 RETRY=0
[2025-05-21 11:14:13.895007] [I]      225 mac.cpp             : 141 | [MAC] FSM transmission scheduled
[2025-05-21 11:14:13.903056] [I]      225 routing.cpp         : 132 | [ROUTING] Added packet to send queue (ID: 62875)
[2025-05-21 11:14:13.913984] [I]      236 transport.cpp       : 133 | [TRANSPORT] Scheduled to send segment (Segment ID: 14970, Frame ID: 62875)
[2025-05-21 11:14:13.920994] [I]      255 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:14:13.927088] [I]      255 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:14:13.941085] [I]      274 loraraw.cpp         : 235 | [LR] Packet: 05099BF5F808050905047A3A0400D2
[2025-05-21 11:14:13.999051] [I]      333 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.007102] [I]      334 mac.cpp             : 484 | [MAC] Frame sent successfully, waiting for ACK
[2025-05-21 11:14:14.016016] [I]      350 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.024065] [I]      350 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:14:14.130125] [I]      465 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:14:14.136049] [I]      465 mac.cpp             : 422 | [MAC] Retry 1/3
[2025-05-21 11:14:14.143190] [I]      476 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:14:14.149118] [I]      476 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:14:14.162080] [I]      495 loraraw.cpp         : 235 | [LR] Packet: 05099BF5FA08050905047A3A040002
[2025-05-21 11:14:14.220023] [I]      555 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.230110] [I]      555 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:14:14.236931] [I]      571 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.244992] [I]      571 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:14:14.351186] [I]      687 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:14:14.357120] [I]      687 mac.cpp             : 422 | [MAC] Retry 2/3
[2025-05-21 11:14:14.364218] [I]      698 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:14:14.370012] [I]      698 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:14:14.383128] [I]      717 loraraw.cpp         : 235 | [LR] Packet: 05099BF5FC08050905047A3A040075
[2025-05-21 11:14:14.441312] [I]      776 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.451125] [I]      777 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:14:14.458028] [I]      793 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.466100] [I]      793 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:14:14.572095] [I]      908 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:14:14.578071] [I]      908 mac.cpp             : 422 | [MAC] Retry 3/3
[2025-05-21 11:14:14.584131] [I]      919 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 11:14:14.590997] [I]      919 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 11:14:14.604011] [I]      938 loraraw.cpp         : 235 | [LR] Packet: 05099BF5FE08050905047A3A0400A5
[2025-05-21 11:14:14.662136] [I]      997 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.671023] [I]      998 mac.cpp             : 484 | [MAC] Frame sent successfully after retry, waiting for ACK
[2025-05-21 11:14:14.678022] [I]     1014 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.686074] [I]     1014 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 11:14:14.793084] [I]     1129 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 11:14:14.801217] [W]     1129 mac.cpp             : 417 | [MAC] Max retries (3) reached, transmission failed
[2025-05-21 11:14:14.807124] [W]     1140 mac.cpp             : 554 | [MAC] TX error (1)
[2025-05-21 11:14:14.814085] [I]     1146 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:14.823028] [W]     1146 transport.cpp       : 281 | [TRANSPORT] TX Error for UDP segment 14970 (frame 62875)
[2025-05-21 11:14:14.832086] [I]     1158 routing_table.cpp   :  60 | [RTABLE] Routing table de-initialized. Heap: 327772
[2025-05-21 11:14:14.837042] [I]     1168 mac.cpp             : 108 | [MAC] Deinit
[2025-05-21 11:14:14.843064] [I]     1179 lora.cpp            :  37 | [LORA] Deinit
[2025-05-21 11:14:14.855986] [I]     1192 routing.cpp         :  75 | [ROUTING] Deinitialized
[2025-05-21 11:14:14.862990] [I]     1192 transport.cpp       :  88 | [TRANSPORT] De-initialized
[2025-05-21 11:14:14.865020] Sleeping for 298798 ms
[2025-05-21 11:19:10.529341] ets Jul 29 2019 12:21:46
[2025-05-21 11:19:10.529468] 
[2025-05-21 11:19:10.534182] rst:0x5 (DEEPSLEEP_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 11:19:10.536149] configsip: 0, SPIWP:0xee
[2025-05-21 11:19:10.543294] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 11:19:10.545081] mode:DIO, clock div:2
[2025-05-21 11:19:10.547180] load:0x3fff0030,len:1184
[2025-05-21 11:19:10.549100] load:0x40078000,len:13232
[2025-05-21 11:19:10.552071] load:0x40080400,len:3028
[2025-05-21 11:19:10.553145] entry 0x400805e4
[2025-05-21 11:19:10.614082] [    27][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 11:19:10.630091] [I]       38 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 11:19:10.674145] [I]       91 lora.cpp            :  32 | [LORA] Init
[2025-05-21 11:19:10.681122] [I]       91 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 11:19:10.693118] [I]      108 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:19:10.698078] [I]      109 loraraw.cpp         :  46 | [LR] Init
[2025-05-21 11:19:10.703139] [I]      119 mac.cpp             : 103 | [MAC] Init
