[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 85	Boot count: 86[0m
[32m[I]      413 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9590 ms	Sync time: 0 ms	Done time: 410 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.44 ms	Sync count: 86	Boot count: 87[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.42 ms	Sync count: 87	Boot count: 88[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.40 ms	Sync count: 88	Boot count: 89[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.39 ms	Sync count: 89	Boot count: 90[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.37 ms	Sync count: 90	Boot count: 91[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.36 ms	Sync count: 91	Boot count: 92[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.34 ms	Sync count: 92	Boot count: 93[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.33 ms	Sync count: 93	Boot count: 94[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 284.32 ms	Sync count: 94	Boot count: 95[0m
